Stableton Morningstar PitchBook Unicorn 20 AMC All Investors - CH1234846777 (USD),,,,,,,,,,
Date,CCY Chart Price,Chart Price,CCY Adjusted Chart Price,Adjusted Chart Price,CCY Total Return Chart Price,Total Return Chart Price,Net Asset Value,Issue Price,Redemption Price,Closing Price
04/03/2025,USD,125.254,USD,125.254,USD,125.254,125.254,,,
05/03/2025,USD,125.245,USD,125.245,USD,125.245,125.245,,,
06/03/2025,USD,125.237,USD,125.237,USD,125.237,125.237,,,
07/03/2025,USD,126.917,USD,126.917,USD,126.917,126.917,,,
10/03/2025,USD,126.89,USD,126.89,USD,126.89,126.89,,,
11/03/2025,USD,126.882,USD,126.882,USD,126.882,126.882,,,
12/03/2025,USD,126.873,USD,126.873,USD,126.873,126.873,,,
13/03/2025,USD,126.865,USD,126.865,USD,126.865,126.865,,,
14/03/2025,USD,128.289,USD,128.289,USD,128.289,128.289,,,
17/03/2025,USD,128.264,USD,128.264,USD,128.264,128.264,,,
18/03/2025,USD,128.255,USD,128.255,USD,128.255,128.255,,,
19/03/2025,USD,128.247,USD,128.247,USD,128.247,128.247,,,
20/03/2025,USD,128.209,USD,128.209,USD,128.209,128.209,,,
21/03/2025,USD,130.892,USD,130.892,USD,130.892,130.892,,,
24/03/2025,USD,130.868,USD,130.868,USD,130.868,130.868,,,
25/03/2025,USD,130.859,USD,130.859,USD,130.859,130.859,,,
26/03/2025,USD,130.851,USD,130.851,USD,130.851,130.851,,,
27/03/2025,USD,130.842,USD,130.842,USD,130.842,130.842,,,
28/03/2025,USD,129.883,USD,129.883,USD,129.883,129.883,,,
31/03/2025,USD,129.858,USD,129.858,USD,129.858,129.858,,,
01/04/2025,USD,129.848,USD,129.848,USD,129.848,129.848,,,
02/04/2025,USD,129.839,USD,129.839,USD,129.839,129.839,,,
03/04/2025,USD,129.828,USD,129.828,USD,129.828,129.828,,,
04/04/2025,USD,127.39,USD,127.39,USD,127.39,127.39,,,
07/04/2025,USD,127.365,USD,127.365,USD,127.365,127.365,,,
08/04/2025,USD,127.357,USD,127.357,USD,127.357,127.357,,,
09/04/2025,USD,127.348,USD,127.348,USD,127.348,127.348,,,
10/04/2025,USD,127.34,USD,127.34,USD,127.34,127.34,,,
11/04/2025,USD,126.472,USD,126.472,USD,126.472,126.472,,,
14/04/2025,USD,126.45,USD,126.45,USD,126.45,126.45,,,
15/04/2025,USD,126.441,USD,126.441,USD,126.441,126.441,,,
16/04/2025,USD,126.432,USD,126.432,USD,126.432,126.432,,,
17/04/2025,USD,126.424,USD,126.424,USD,126.424,126.424,,,
22/04/2025,USD,126.233,USD,126.233,USD,126.233,126.233,,,
23/04/2025,USD,125.122,USD,125.122,USD,125.122,125.122,,,
24/04/2025,USD,125.114,USD,125.114,USD,125.114,125.114,,,
25/04/2025,USD,127.838,USD,127.838,USD,127.838,127.838,,,
