Stableton Morningstar PitchBook Unicorn 20 AMC All Investors - CH1234846777 (USD),,,,,,,,,,
Date,CCY Chart Price,Chart Price,CCY Adjusted Chart Price,Adjusted Chart Price,CCY Total Return Chart Price,Total Return Chart Price,Net Asset Value,Issue Price,Redemption Price,Closing Price
28/04/2025,USD,127.813,USD,127.813,USD,127.813,127.813,,,
29/04/2025,USD,127.804,USD,127.804,USD,127.804,127.804,,,
30/04/2025,USD,127.796,USD,127.796,USD,127.796,127.796,,,
02/05/2025,USD,127.779,USD,127.779,USD,127.779,127.779,,,
05/05/2025,USD,127.754,USD,127.754,USD,127.754,127.754,,,
12/05/2025,USD,128.31,USD,128.31,USD,128.31,128.31,,,
14/05/2025,USD,128.285,USD,128.285,USD,128.285,128.285,,,
16/05/2025,USD,128.268,USD,128.268,USD,128.268,128.268,,,
19/05/2025,USD,126.23,USD,126.23,USD,126.23,126.23,,,
20/05/2025,USD,126.222,USD,126.222,USD,126.222,126.222,,,
21/05/2025,USD,126.214,USD,126.214,USD,126.214,126.214,,,
22/05/2025,USD,126.206,USD,126.206,USD,126.206,126.206,,,
23/05/2025,USD,126.902,USD,126.902,USD,126.902,126.902,,,
26/05/2025,USD,126.878,USD,126.878,USD,126.878,126.878,,,
27/05/2025,USD,126.868,USD,126.868,USD,126.868,126.868,,,
28/05/2025,USD,126.853,USD,126.853,USD,126.853,126.853,,,
02/06/2025,USD,126.802,USD,126.802,USD,126.802,126.802,,,
03/06/2025,USD,126.425,USD,126.425,USD,126.425,126.425,,,
04/06/2025,USD,126.414,USD,126.414,USD,126.414,126.414,,,
05/06/2025,USD,126.407,USD,126.407,USD,126.407,126.407,,,
06/06/2025,USD,126.652,USD,126.652,USD,126.652,126.652,,,
10/06/2025,USD,126.623,USD,126.623,USD,126.623,126.623,,,
11/06/2025,USD,126.616,USD,126.616,USD,126.616,126.616,,,
12/06/2025,USD,126.609,USD,126.609,USD,126.609,126.609,,,
16/06/2025,USD,126.336,USD,126.336,USD,126.336,126.336,,,
17/06/2025,USD,126.327,USD,126.327,USD,126.327,126.327,,,
18/06/2025,USD,126.32,USD,126.32,USD,126.32,126.32,,,
19/06/2025,USD,126.313,USD,126.313,USD,126.313,126.313,,,
20/06/2025,USD,126.1,USD,126.1,USD,126.1,126.1,,,
23/06/2025,USD,126.079,USD,126.079,USD,126.079,126.079,,,
24/06/2025,USD,126.071,USD,126.071,USD,126.071,126.071,,,
25/06/2025,USD,126.064,USD,126.064,USD,126.064,126.064,,,
26/06/2025,USD,126.056,USD,126.056,USD,126.056,126.056,,,
27/06/2025,USD,126.569,USD,126.569,USD,126.569,126.569,,,
30/06/2025,USD,126.547,USD,126.547,USD,126.547,126.547,,,
01/07/2025,USD,126.539,USD,126.539,USD,126.539,126.539,,,
02/07/2025,USD,126.532,USD,126.532,USD,126.532,126.532,,,
03/07/2025,USD,126.525,USD,126.525,USD,126.525,126.525,,,
04/07/2025,USD,125.078,USD,125.078,USD,125.078,125.078,,,
07/07/2025,USD,127.017,USD,127.017,USD,127.017,127.017,,,
08/07/2025,USD,125.047,USD,125.047,USD,125.047,125.047,,,
09/07/2025,USD,125.004,USD,125.004,USD,125.004,125.004,,,
10/07/2025,USD,124.994,USD,124.994,USD,124.994,124.994,,,
11/07/2025,USD,125.17,USD,125.17,USD,125.17,125.17,,,
14/07/2025,USD,125.149,USD,125.149,USD,125.149,125.149,,,
15/07/2025,USD,125.139,USD,125.139,USD,125.139,125.139,,,
16/07/2025,USD,125.132,USD,125.132,USD,125.132,125.132,,,
17/07/2025,USD,125.124,USD,125.124,USD,125.124,125.124,,,
18/07/2025,USD,124.329,USD,124.329,USD,124.329,124.329,,,
21/07/2025,USD,124.308,USD,124.308,USD,124.308,124.308,,,
22/07/2025,USD,124.301,USD,124.301,USD,124.301,124.301,,,
23/07/2025,USD,124.294,USD,124.294,USD,124.294,124.294,,,
24/07/2025,USD,124.287,USD,124.287,USD,124.287,124.287,,,
25/07/2025,USD,124.517,USD,124.517,USD,124.517,124.517,,,
28/07/2025,USD,124.496,USD,124.496,USD,124.496,124.496,,,
29/07/2025,USD,124.489,USD,124.489,USD,124.489,124.489,,,
31/07/2025,USD,124.475,USD,124.475,USD,124.475,124.475,,,
04/08/2025,USD,124.452,USD,124.452,USD,124.452,124.452,,,
05/08/2025,USD,124.445,USD,124.445,USD,124.445,124.445,,,
06/08/2025,USD,124.438,USD,124.438,USD,124.438,124.438,,,
07/08/2025,USD,131.78,USD,131.78,USD,131.78,131.78,,,
08/08/2025,USD,131.77,USD,131.77,USD,131.77,131.77,,,
11/08/2025,USD,131.75,USD,131.75,USD,131.75,131.75,,,
12/08/2025,USD,131.74,USD,131.74,USD,131.74,131.74,,,
13/08/2025,USD,131.73,USD,131.73,USD,131.73,131.73,,,
14/08/2025,USD,131.72,USD,131.72,USD,131.72,131.72,,,
15/08/2025,USD,135.72,USD,135.72,USD,135.72,135.72,,,
18/08/2025,USD,135.69,USD,135.69,USD,135.69,135.69,,,
19/08/2025,USD,135.69,USD,135.69,USD,135.69,135.69,,,
20/08/2025,USD,135.68,USD,135.68,USD,135.68,135.68,,,
21/08/2025,USD,135.67,USD,135.67,USD,135.67,135.67,,,
22/08/2025,USD,147.47,USD,147.47,USD,147.47,147.47,,,
25/08/2025,USD,147.44,USD,147.44,USD,147.44,147.44,,,
26/08/2025,USD,147.44,USD,147.44,USD,147.44,147.44,,,
27/08/2025,USD,147.43,USD,147.43,USD,147.43,147.43,,,
28/08/2025,USD,147.42,USD,147.42,USD,147.42,147.42,,,
01/09/2025,USD,152.78,USD,152.78,USD,152.78,152.78,,,
02/09/2025,USD,152.77,USD,152.77,USD,152.77,152.77,,,
04/09/2025,USD,152.76,USD,152.76,USD,152.76,152.76,,,
05/09/2025,USD,154.21,USD,154.21,USD,154.21,154.21,,,
08/09/2025,USD,154.19,USD,154.19,USD,154.19,154.19,,,
09/09/2025,USD,154.18,USD,154.18,USD,154.18,154.18,,,
10/09/2025,USD,154.17,USD,154.17,USD,154.17,154.17,,,
11/09/2025,USD,154.16,USD,154.16,USD,154.16,154.16,,,
12/09/2025,USD,156.21,USD,156.21,USD,156.21,156.21,,,
15/09/2025,USD,156.18,USD,156.18,USD,156.18,156.18,,,
16/09/2025,USD,156.17,USD,156.17,USD,156.17,156.17,,,
17/09/2025,USD,156.16,USD,156.16,USD,156.16,156.16,,,
18/09/2025,USD,156.15,USD,156.15,USD,156.15,156.15,,,
19/09/2025,USD,158.74,USD,158.74,USD,158.74,158.74,,,
22/09/2025,USD,158.71,USD,158.71,USD,158.71,158.71,,,
23/09/2025,USD,158.7,USD,158.7,USD,158.7,158.7,,,
25/09/2025,USD,158.69,USD,158.69,USD,158.69,158.69,,,
26/09/2025,USD,158.68,USD,158.68,USD,158.68,158.68,,,
29/09/2025,USD,158.65,USD,158.65,USD,158.65,158.65,,,
30/09/2025,USD,161.9,USD,161.9,USD,161.9,161.9,,,
01/10/2025,USD,161.89,USD,161.89,USD,161.89,161.89,,,
02/10/2025,USD,161.88,USD,161.88,USD,161.88,161.88,,,
03/10/2025,USD,161.87,USD,161.87,USD,161.87,161.87,,,
06/10/2025,USD,160.5,USD,160.5,USD,160.5,160.5,,,
07/10/2025,USD,160.49,USD,160.49,USD,160.49,160.49,,,
08/10/2025,USD,160.48,USD,160.48,USD,160.48,160.48,,,
09/10/2025,USD,160.47,USD,160.47,USD,160.47,160.47,,,
13/10/2025,USD,163.14,USD,163.14,USD,163.14,163.14,,,
14/10/2025,USD,163.13,USD,163.13,USD,163.13,163.13,,,
16/10/2025,USD,167.16,USD,167.16,USD,167.16,167.16,,,
17/10/2025,USD,168.7,USD,168.7,USD,168.7,168.7,,,
22/10/2025,USD,164.56,USD,164.56,USD,164.56,164.56,,,
23/10/2025,USD,164.55,USD,164.55,USD,164.55,164.55,,,
24/10/2025,USD,161.15,USD,161.15,USD,161.15,161.15,,,
27/10/2025,USD,161.12,USD,161.12,USD,161.12,161.12,,,
28/10/2025,USD,161.11,USD,161.11,USD,161.11,161.11,,,
29/10/2025,USD,161.1,USD,161.1,USD,161.1,161.1,,,
30/10/2025,USD,161.09,USD,161.09,USD,161.09,161.09,,,
03/11/2025,USD,159.35,USD,159.35,USD,159.35,159.35,,,
04/11/2025,USD,159.34,USD,159.34,USD,159.34,159.34,,,
05/11/2025,USD,159.34,USD,159.34,USD,159.34,159.34,,,
06/11/2025,USD,159.33,USD,159.33,USD,159.33,159.33,,,
07/11/2025,USD,160,USD,160,USD,160,160,,,
10/11/2025,USD,159.97,USD,159.97,USD,159.97,159.97,,,
11/11/2025,USD,159.96,USD,159.96,USD,159.96,159.96,,,
14/11/2025,USD,166.53,USD,166.53,USD,166.53,166.53,,,
17/11/2025,USD,166.5,USD,166.5,USD,166.5,166.5,,,
18/11/2025,USD,166.49,USD,166.49,USD,166.49,166.49,,,
19/11/2025,USD,166.48,USD,166.48,USD,166.48,166.48,,,
20/11/2025,USD,166.47,USD,166.47,USD,166.47,166.47,,,
21/11/2025,USD,162.55,USD,162.55,USD,162.55,162.55,,,
24/11/2025,USD,162.52,USD,162.52,USD,162.52,162.52,,,
25/11/2025,USD,162.5,USD,162.5,USD,162.5,162.5,,,
26/11/2025,USD,162.49,USD,162.49,USD,162.49,162.49,,,
27/11/2025,USD,162.48,USD,162.48,USD,162.48,162.48,,,
28/11/2025,USD,180.36,USD,180.36,USD,180.36,180.36,,,
01/12/2025,USD,180.33,USD,180.33,USD,180.33,180.33,,,
02/12/2025,USD,180.33,USD,180.33,USD,180.33,180.33,,,
03/12/2025,USD,180.32,USD,180.32,USD,180.32,180.32,,,
04/12/2025,USD,180.31,USD,180.31,USD,180.31,180.31,,,
05/12/2025,USD,170.11,USD,170.11,USD,170.11,170.11,,,
08/12/2025,USD,170.08,USD,170.08,USD,170.08,170.08,,,
09/12/2025,USD,170.07,USD,170.07,USD,170.07,170.07,,,
11/12/2025,USD,170.05,USD,170.05,USD,170.05,170.05,,,
12/12/2025,USD,174.74,USD,174.74,USD,174.74,174.74,,,
15/12/2025,USD,174.71,USD,174.71,USD,174.71,174.71,,,
18/12/2025,USD,174.68,USD,174.68,USD,174.68,174.68,,,
19/12/2025,USD,175.54,USD,175.54,USD,175.54,175.54,,,
22/12/2025,USD,175.51,USD,175.51,USD,175.51,175.51,,,
23/12/2025,USD,175.5,USD,175.5,USD,175.5,175.5,,,
24/12/2025,USD,175.49,USD,175.49,USD,175.49,175.49,,,
29/12/2025,USD,175.43,USD,175.43,USD,175.43,175.43,,,
30/12/2025,USD,175.42,USD,175.42,USD,175.42,175.42,,,
05/01/2026,USD,175.36,USD,175.36,USD,175.36,175.36,,,
06/01/2026,USD,175.35,USD,175.35,USD,175.35,175.35,,,
07/01/2026,USD,175.35,USD,175.35,USD,175.35,175.35,,,
08/01/2026,USD,175.34,USD,175.34,USD,175.34,175.34,,,
12/01/2026,USD,188.43,USD,188.43,USD,188.43,188.43,,,
13/01/2026,USD,188.41,USD,188.41,USD,188.41,188.41,,,
14/01/2026,USD,188.39,USD,188.39,USD,188.39,188.39,,,
15/01/2026,USD,188.38,USD,188.38,USD,188.38,188.38,,,
16/01/2026,USD,188.62,USD,188.62,USD,188.62,188.62,,,
19/01/2026,USD,188.58,USD,188.58,USD,188.58,188.58,,,
20/01/2026,USD,188.57,USD,188.57,USD,188.57,188.57,,,
21/01/2026,USD,188.56,USD,188.56,USD,188.56,188.56,,,
22/01/2026,USD,188.55,USD,188.55,USD,188.55,188.55,,,
23/01/2026,USD,186.83,USD,186.83,USD,186.83,186.83,,,
29/01/2026,USD,186.751,USD,186.751,USD,186.751,186.751,,,
30/01/2026,USD,186.74,USD,186.74,USD,186.74,186.74,,,
02/02/2026,USD,186.71,USD,186.71,USD,186.71,186.71,,,
03/02/2026,USD,186.69,USD,186.69,USD,186.69,186.69,,,
04/02/2026,USD,186.68,USD,186.68,USD,186.68,186.68,,,
05/02/2026,USD,186.674,USD,186.674,USD,186.674,186.674,,,
10/02/2026,USD,187.384,USD,187.384,USD,187.384,187.384,,,
11/02/2026,USD,187.373,USD,187.373,USD,187.373,187.373,,,
12/02/2026,USD,187.362,USD,187.362,USD,187.362,187.362,,,
13/02/2026,USD,187.38,USD,187.38,USD,187.38,187.38,,,
17/02/2026,USD,187.337,USD,187.337,USD,187.337,187.337,,,
18/02/2026,USD,187.326,USD,187.326,USD,187.326,187.326,,,
19/02/2026,USD,187.109,USD,187.109,USD,187.109,187.109,,,
20/02/2026,USD,191.441,USD,191.441,USD,191.441,191.441,,,
23/02/2026,USD,191.388,USD,191.388,USD,191.388,191.388,,,
24/02/2026,USD,191.378,USD,191.378,USD,191.378,191.378,,,
25/02/2026,USD,191.367,USD,191.367,USD,191.367,191.367,,,
26/02/2026,USD,191.356,USD,191.356,USD,191.356,191.356,,,
27/02/2026,USD,188.571,USD,188.571,USD,188.571,188.571,,,
03/03/2026,USD,188.448,USD,188.448,USD,188.448,188.448,,,
04/03/2026,USD,188.438,USD,188.438,USD,188.438,188.438,,,
06/03/2026,USD,191.448,USD,191.448,USD,191.448,191.448,,,
09/03/2026,USD,191.145,USD,191.145,USD,191.145,191.145,,,
10/03/2026,USD,191.4,USD,191.4,USD,191.4,191.4,,,
12/03/2026,USD,191.379,USD,191.379,USD,191.379,191.379,,,
13/03/2026,USD,190.573,USD,190.573,USD,190.573,190.573,,,
16/03/2026,USD,188.006,USD,188.006,USD,188.006,188.006,,,
17/03/2026,USD,190.589,USD,190.589,USD,190.589,190.589,,,
18/03/2026,USD,190.578,USD,190.578,USD,190.578,190.578,,,
19/03/2026,USD,190.567,USD,190.567,USD,190.567,190.567,,,
20/03/2026,USD,190.65,USD,190.65,USD,190.65,190.65,,,
23/03/2026,USD,190.617,USD,190.617,USD,190.617,190.617,,,
25/03/2026,USD,190.532,USD,190.532,USD,190.532,190.532,,,
26/03/2026,USD,190.522,USD,190.522,USD,190.522,190.522,,,
27/03/2026,USD,190.422,USD,190.422,USD,190.422,190.422,,,
30/03/2026,USD,190.39,USD,190.39,USD,190.39,190.39,,,
31/03/2026,USD,190.364,USD,190.364,USD,190.364,190.364,,,
01/04/2026,USD,190.332,USD,190.332,USD,190.332,190.332,,,
07/04/2026,USD,190.266,USD,190.266,USD,190.266,190.266,,,
08/04/2026,USD,189.115,USD,189.115,USD,189.115,189.115,,,
09/04/2026,USD,189.104,USD,189.104,USD,189.104,189.104,,,
10/04/2026,USD,187.884,USD,187.884,USD,187.884,187.884,,,
13/04/2026,USD,187.852,USD,187.852,USD,187.852,187.852,,,
14/04/2026,USD,187.841,USD,187.841,USD,187.841,187.841,,,
15/04/2026,USD,187.83,USD,187.83,USD,187.83,187.83,,,
16/04/2026,USD,187.819,USD,187.819,USD,187.819,187.819,,,
17/04/2026,USD,188.396,USD,188.396,USD,188.396,188.396,,,
21/04/2026,USD,189.478,USD,189.478,USD,189.478,189.478,,,
22/04/2026,USD,189.207,USD,189.207,USD,189.207,189.207,,,
23/04/2026,USD,189.196,USD,189.196,USD,189.196,189.196,,,
27/04/2026,USD,193.443,USD,193.443,USD,193.443,193.443,,,
28/04/2026,USD,193.431,USD,193.431,USD,193.431,193.431,,,
04/05/2026,USD,193.365,USD,193.365,USD,193.365,193.365,,,
05/05/2026,USD,195.818,USD,195.818,USD,195.818,195.818,,,
07/05/2026,USD,195.767,USD,195.767,USD,195.767,195.767,,,
11/05/2026,USD,200.808,USD,200.808,USD,200.808,200.808,,,
12/05/2026,USD,200.808,USD,200.808,USD,200.808,200.808,,,
15/05/2026,USD,200.774,USD,200.774,USD,200.774,200.774,,,
19/05/2026,USD,205.397,USD,205.397,USD,205.397,205.397,,,
20/05/2026,USD,205.385,USD,205.385,USD,205.385,205.385,,,
22/05/2026,USD,205.363,USD,205.363,USD,205.363,205.363,,,
28/05/2026,USD,225.832,USD,225.832,USD,225.832,225.832,,,
29/05/2026,USD,216.884,USD,216.884,USD,216.884,216.884,,,
01/06/2026,USD,216.847,USD,216.847,USD,216.847,216.847,,,
03/06/2026,USD,216.817,USD,216.817,USD,216.817,216.817,,,
04/06/2026,USD,216.804,USD,216.804,USD,216.804,216.804,,,
05/06/2026,USD,214.544,USD,214.544,USD,214.544,214.544,,,
08/06/2026,USD,214.51,USD,214.51,USD,214.51,214.51,,,
10/06/2026,USD,214.485,USD,214.485,USD,214.485,214.485,,,
12/06/2026,USD,216.24,USD,216.24,USD,216.24,216.24,,,
17/06/2026,USD,216.172,USD,216.172,USD,216.172,216.172,,,
18/06/2026,USD,216.16,USD,216.16,USD,216.16,216.16,,,
19/06/2026,USD,225.861,USD,225.861,USD,225.861,225.861,,,
22/06/2026,USD,225.825,USD,225.825,USD,225.825,225.825,,,
23/06/2026,USD,225.812,USD,225.812,USD,225.812,225.812,,,
24/06/2026,USD,225.799,USD,225.799,USD,225.799,225.799,,,
26/06/2026,USD,224.997,USD,224.997,USD,224.997,224.997,,,
29/06/2026,USD,224.959,USD,224.959,USD,224.959,224.959,,,
30/06/2026,USD,224.992,USD,224.992,USD,224.992,224.992,,,
01/07/2026,USD,224.971,USD,224.971,USD,224.971,224.971,,,
03/07/2026,USD,222.386,USD,222.386,USD,222.386,222.386,,,
07/07/2026,USD,222.357,USD,222.357,USD,222.357,222.357,,,
09/07/2026,USD,222.313,USD,222.313,USD,222.313,222.313,,,
13/07/2026,USD,226.824,USD,226.824,USD,226.824,226.824,,,
15/07/2026,USD,226.798,USD,226.798,USD,226.798,226.798,,,
16/07/2026,USD,226.785,USD,226.785,USD,226.785,226.785,,,
17/07/2026,USD,221.274,USD,221.274,USD,221.274,221.274,,,
20/07/2026,USD,221.236,USD,221.236,USD,221.236,221.236,,,
21/07/2026,USD,221.224,USD,221.224,USD,221.224,221.224,,,
22/07/2026,USD,221.211,USD,221.211,USD,221.211,221.211,,,
23/07/2026,USD,221.199,USD,221.199,USD,221.199,221.199,,,
24/07/2026,USD,218.738,USD,218.738,USD,218.738,218.738,,,
27/07/2026,USD,218.703,USD,218.703,USD,218.703,218.703,,,
28/07/2026,USD,218.69,USD,218.69,USD,218.69,218.69,,,
29/07/2026,USD,218.678,USD,218.678,USD,218.678,218.678,,,
31/07/2026,USD,217.654,USD,217.654,USD,217.654,217.654,,,
03/08/2026,USD,217.616,USD,217.616,USD,217.616,217.616,,,
04/08/2026,USD,217.604,USD,217.604,USD,217.604,217.604,,,
06/08/2026,USD,217.582,USD,217.582,USD,217.582,217.582,,,
07/08/2026,USD,223.327,USD,223.327,USD,223.327,223.327,,,
10/08/2026,USD,223.297,USD,223.297,USD,223.297,223.297,,,
11/08/2026,USD,223.284,USD,223.284,USD,223.284,223.284,,,
12/08/2026,USD,223.272,USD,223.272,USD,223.272,223.272,,,
13/08/2026,USD,223.247,USD,223.247,USD,223.247,223.247,,,
17/08/2026,USD,228.202,USD,228.202,USD,228.202,228.202,,,
18/08/2026,USD,228.189,USD,228.189,USD,228.189,228.189,,,
19/08/2026,USD,228.176,USD,228.176,USD,228.176,228.176,,,
21/08/2026,USD,228.15,USD,228.15,USD,228.15,228.15,,,
24/08/2026,USD,228.126,USD,228.126,USD,228.126,228.126,,,
27/08/2026,USD,216.416,USD,216.416,USD,216.416,216.416,,,
28/08/2026,USD,213.332,USD,213.332,USD,213.332,213.332,,,
31/08/2026,USD,213.298,USD,213.298,USD,213.298,213.298,,,
01/09/2026,USD,213.286,USD,213.286,USD,213.286,213.286,,,
03/09/2026,USD,213.262,USD,213.262,USD,213.262,213.262,,,
04/09/2026,USD,215.526,USD,215.526,USD,215.526,215.526,,,
08/09/2026,USD,231.856,USD,231.856,USD,231.856,231.856,,,
09/09/2026,USD,231.845,USD,231.845,USD,231.845,231.845,,,
